# Формат строки:
# ru_text|uk_text|bonus|tag
# tag: normal | weird | spicy | inedible

пиццу с чили|піцу з чилі|35|spicy
суши с васаби|суші з васабі|28|spicy
тарелку борща|тарілку борщу|12|normal
шаурму с двойным соусом|шаурму з подвійним соусом|24|normal
чебурек из автомата|чебурек з автомата|26|weird
энергетик из-под кровати|енергетик з-під ліжка|40|weird
лапшу быстрого выживания|локшину швидкого виживання|17|normal
тройной бургер с огнем|потрійний бургер з вогнем|30|spicy
подозрительный кефир|підозрілий кефір|34|weird
дошик и маринованный перец|дошик і маринований перець|33|spicy
колу и солёный огурец|колу і солоний огірок|20|weird
дюжину острых крылышек|дюжину гострих крилець|44|spicy
панкейки с кетчупом|панкейки з кетчупом|25|weird
биткоин 2021 года (на вкус как боль)|біткоїн 2021 року (на смак як біль)|60|inedible
твит Илона Маска|твіт Ілона Маска|55|inedible
носки админа|шкарпетки адміна|62|inedible
зарядку от нокии|зарядку від нокії|66|inedible
кусок бетонной романтики|шмат бетонної романтики|64|inedible
протеиновый коктейль с хреном|протеїновий коктейль з хроном|38|spicy
салат с майонезом и карри|салат з майонезом і карі|31|spicy
манты с аджикой|манти з аджикою|29|spicy
оливье после трёх праздников|олів'є після трьох свят|36|weird
кашу с энергетиком|кашу з енергетиком|27|weird
хот-дог с тройной горчицей|хот-дог з потрійною гірчицею|32|spicy
буррито апокалипсиса|буріто апокаліпсису|45|spicy
пельмени с острым маслом|пельмені з гострою олією|22|spicy
йогурт из неизвестного измерения|йогурт з невідомого виміру|41|weird
солёную карамель и чеснок|солону карамель і часник|34|weird
чипсы с урановым вкусом|чипси з урановим смаком|58|inedible
пломбир с перцем|пломбір з перцем|23|spicy
сырный вулкан|сирний вулкан|26|normal
тройной латте и острый тако|потрійне латте і гостре тако|35|spicy
банку сгущенки и чили|банку згущеного молока і чилі|33|spicy
